title,director,year,country,genres,image,synopsis,mubi_url,film_id
9 Muses of Star Empire,Lee Harkjoon,2012,South Korea,Documentary,https://assets.mubicdn.net/images/film/110939/image-w448.jpg,"Nine young women are followed for a year as they train to be the next K-pop sensations. Chosen by the powerful Star Empire Agency to be part of a new girl group called 9 Muses, the women undergo intense scrutiny as they are molded into an image created by the CEO.",https://mubi.com/en/films/9-muses-of-star-empire,110939
9 Months 9 Days,Ozcar Ramírez González,2009,Mexico,Documentary,https://assets.mubicdn.net/images/film/21581/image-w448.jpg,"August 9 2006. Three Mexican fishermen are found near the Marshall Islands, more than 5,000 miles away from home, after 9 months and 9 days adrift. As their story spreads, iIt seems that the real danger is still to come.",https://mubi.com/en/films/9-months-9-days,21581
9½ Weeks,Adrian Lyne,1986,United States,"Drama, Romance, Cult",https://assets.mubicdn.net/images/film/25673/image-w448.jpg,"Elizabeth, a divorced New York art gallery curator, finds herself drawn into an obsessive sexual relationship with John, a compelling Wall Street broker. At first, the relationship is stimulating and exciting, but as their sex games become increasingly perverse, she begins to fear for her sanity.",https://mubi.com/en/films/9-weeks,25673
A Better Tomorrow,John Woo,1986,Hong Kong,"Crime, Drama, Action",https://assets.mubicdn.net/images/film/24952/image-w448.jpg,"Two friends, Ho (Ti Lung) and Mark (Chow Yun Fat), are triads in a counterfeiting operation who end up doing ‘one more job’ and what do you know, this one more job gets messier than they had hoped…",https://mubi.com/en/films/a-better-tomorrow,24952
9/64: O Christmas Tree,Kurt Kren,1964,Austria,"Short, Avant-Garde",https://assets.mubicdn.net/images/film/34093/image-w448.jpg,"Kren offers a more visually descriptive development of a Muehl action. The images have been chosen to follow a more dramatic sequence, probably because the action itself contained a wide range of images and materials.",https://mubi.com/en/films/964-o-christmas-tree,34093
A Bigger Splash,Luca Guadagnino,2015,"Italy, France","Crime, Drama, Mystery",https://assets.mubicdn.net/images/film/119725/image-w448.jpg,"A high-profile couple—famous rock star Marianne Lane and filmmaker Paul—are holidaying on the picturesque secluded Italian island of Pantelleria. But their tranquil retreat is interrupted by the arrival of an old friend and charismatic music producer, Harry, and his daughter, Penelope.",https://mubi.com/en/films/a-bigger-splash-2015,119725
9x10 novanta,"Alice Rohrwacher, Pietro Marcello, Giovanni Piperno, Alina Marazzi, Marco Bonfanti, Claudio Giovannesi, Costanza Quatriglio, Roland Sejko, Paola Randi, Sara Fgaier",2014,Italy,Documentary,https://assets.mubicdn.net/images/film/238344/image-w448.jpg,"Young Italian filmmakers create nine ten-minute shorts using unseen footage from the Istituto Luce’s archives. Each short reflects on Italy’s recent history—from wartime to peace, from ruins to reconstruction, and from Fascism’s lost promised futures to the present day.",https://mubi.com/en/films/9x10-novanta,238344
A Big Bold Beautiful Journey,Kogonada,2025,"United States, Ireland","Drama, Adventure, Fantasy, Romance",https://assets.mubicdn.net/images/film/403034/image-w448.jpg,An imaginative tale of two strangers and the unbelievable journey that connects them.,https://mubi.com/en/films/a-big-bold-beautiful-journey,403034
A Brighter Summer Day,Edward Yang,1991,Taiwan,"Drama, Crime, Romance",https://assets.mubicdn.net/images/film/693/image-w448.jpg,"Taiwan, 1960s. After failing a test, innocent boy Xiao Si’r must attend night school. There, two rival gangs constantly clash. Xiao Si’r stays away from the gangs’ actions—until the day he meets Ming and falls in love with her. But Ming is the girlfriend of Honey, leader of one of the two gangs…",https://mubi.com/en/films/a-brighter-summer-day,693
A Bronx Tale,Robert De Niro,1993,United States,"Crime, Drama",https://assets.mubicdn.net/images/film/31153/image-w448.jpg,"In 1960s Bronx, teenager Calogero is drawn to local mob boss Sonny, who becomes an unlikely mentor. Torn between his father’s values and the pull of street life, Calogero navigates loyalty, violence, and first love.",https://mubi.com/en/films/a-bronx-tale,31153
